PSRJ,RAJD,RAJD_ERR,DECJD,DECJD_ERR,DM,P0,W50,astrometry_err,racsmatch
J1338-6204,204.53852916666665,2.9166666666666663e-05,-62.07186111111111,0.0001388888888888,640.3,1.2390005792440333,76.0,0.0001419183494168738,RACS_1314-62A_1556
J1339-4712,204.98578583333327,7.4999999999999985e-06,-47.20153333333334,8.333333333333334e-06,39.9,0.1370546579332,2.3,1.1211353372561425e-05,RACS_1332-50A_3279
J1339-6618,204.9858333333333,0.0008333333333333,-66.30216666666666,0.0001944444444444,241.0,0.55817922185,25.0,0.0008557178778193665,
J1340-6456,205.0013333333333,0.0002083333333333,-64.94525,8.333333333333333e-05,76.99,0.37862206628,12.0,0.00022438186696390673,
J1341-6023,205.2807083333333,0.000125,-60.39297222222222,0.0001388888888888,364.6,0.6272853658697162,6.7,0.00018685588954262433,
J1341-6220,205.427625,0.0003333333333333,-62.339083333333335,0.0001388888888888,719.65,0.1933397463057369,8.7,0.00036111111111104615,RACS_1404-62A_7787
J1342+2822A,205.50279166666664,0.0,28.37538888888889,0.0,26.5,0.0025447383838952,0.24,0.0,
J1342+2822B,205.54619624999995,4.1666666666666667e-07,28.377816944444444,5.555555555555555e-07,26.148,0.002389420757786,0.2,6.944444444444445e-07,
J1342+2822E,205.5483333333333,0.0,28.377222222222223,0.0,26.541,0.00547,,0.0,
J1342+2822F,205.5483333333333,0.0,28.377222222222223,0.0,26.467,0.0044,,0.0,
J1343+6634,205.99691666666664,8.333333333333333e-05,66.57362499999999,2.5e-05,30.031,1.39410378554,57.0,8.700255424092126e-05,
J1344-5855,206.22104166666665,0.000125,-58.92354722222222,5e-05,294.1,0.252397929468,13.0,0.00013462912017836258,
J1344-6059,206.165,0.0012499999999999,-60.99194444444444,0.0008333333333333,435.0,0.5401023214,29.0,0.0015023130314432273,
J1345-6115,206.435125,0.0007916666666666,-61.2585,0.0004444444444444,278.1,1.2530845900978995,27.0,0.0009078914997445988,
J1346-4918,206.593125,8.333333333333333e-05,-49.302,2.777777777777778e-05,74.42,0.2996251068,9.9,8.784104611578831e-05,
J1347-5947,206.83075,0.0001666666666666,-59.79438888888889,0.0001388888888888,293.4,0.6099617543042217,11.0,0.00021695137988618786,
J1348-6307,207.17666666666668,0.0016666666666666,-63.117777777777775,0.0011111111111111,597.0,0.9277722388981356,79.0,0.0020030840419243768,
